backbone,layer,k,spearman,kendall,spearman_level,mono_strict_rate,mono_partial_rate,mono_strict_n,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
DC-AE,16,25,0.6127132105867276,0.43295793781679565,0.4842274113050118,0.5693827160493827,0.8069135802469136,1153,2025,1.0044496877144728,1.018493421572128,1.026251295771526,1.033812862056332,1.0387839870449995
DC-AE,16,81,0.6491078962297399,0.4684422420611373,0.5113683650509401,0.7688888888888888,0.8814814814814815,1557,2025,1.0003831751545653,1.0049724222290985,1.00755380870341,1.010145503779048,1.0118299882155535
DC-AE,18,1,0.7002079964560175,0.5151347467599268,0.5334808987953292,0.76,0.8844444444444445,1539,2025,1.1035827709818835,1.4290424217505209,1.6041968070275092,1.7679305498145652,1.8856513346345574
DC-AE,18,5,0.6554873851211512,0.46830142418666953,0.5021898289593866,0.5693827160493827,0.8375308641975309,1153,2025,1.0201639635298205,1.08696462277068,1.1231600383338785,1.1573754896462811,1.1811623143706396
DC-AE,18,10,0.6426881923988577,0.4571697901029738,0.4945339741881708,0.554074074074074,0.8207407407407408,1122,2025,1.0102810686029702,1.0444147907790717,1.0630284835740444,1.0807947417769403,1.0928259263641082
DC-AE,18,25,0.6367512031759576,0.45181613569855456,0.49142199543088316,0.5565432098765432,0.8128395061728395,1127,2025,1.003973698786812,1.0182647495331427,1.0261837319575797,1.0338910341336836,1.0388821785920372
DC-AE,18,81,0.6739338644477484,0.49047210433911625,0.5197328957065613,0.7580246913580246,0.8819753086419753,1535,2025,1.0001227139944695,1.004784230498822,1.0074255859457424,1.0100787629484185,1.0117878824457092
DC-AE,19,1,0.6935533435977965,0.5060744608176706,0.537539615387396,0.76,0.8864197530864197,1539,2025,1.1925460243923167,1.5121914654871462,1.6688740324903546,1.8171121528536032,1.9192763927718108
DC-AE,19,5,0.6584462080926977,0.47293883504670664,0.5074668022447141,0.6158024691358025,0.8607407407407407,1247,2025,1.0391543644294583,1.1039934831121165,1.135984069070427,1.1665252356934197,1.1873864106735081
DC-AE,19,10,0.6473047439618568,0.461969611565864,0.5011126831779945,0.5940740740740741,0.845925925925926,1203,2025,1.0203780517196024,1.0532857834537508,1.0696215204303066,1.0853202633662486,1.0959014257465527
DC-AE,19,25,0.6433901210350103,0.4584377043850263,0.5054491364996179,0.5980246913580247,0.8395061728395061,1211,2025,1.0084367409022879,1.0220379010402982,1.0288863106981359,1.0355616010229183,1.0400054367682634
DC-AE,19,81,0.6589480706001142,0.47522409399276355,0.5172570185456956,0.7432098765432099,0.8804938271604938,1505,2025,1.001688549885617,1.00607540428263,1.008320567528156,1.0105556836643628,1.0120337045995058
DC-AE,20,1,0.7370919452871705,0.5478655292106112,0.5709590761017233,0.8074074074074075,0.8977777777777778,1635,2025,1.1132852179011496,1.4518923828523589,1.6287974122120261,1.7922876180543699,1.9089632710261524
DC-AE,20,5,0.7229400666170254,0.5325464039860474,0.5626305690420534,0.7348148148148148,0.8874074074074074,1488,2025,1.0230659974567653,1.0915346823021461,1.1273922014049134,1.1608271433461474,1.1846318971798266
DC-AE,20,10,0.7115567086166904,0.5209518484097377,0.5562830566280559,0.7046913580246914,0.8804938271604938,1427,2025,1.0121460270295226,1.0467408290743647,1.0649151192247546,1.0819709950017615,1.0939969560564557
DC-AE,20,25,0.7052086061382034,0.5160314638545376,0.5488668931714803,0.6804938271604938,0.865679012345679,1378,2025,1.004487631534656,1.018618111328932,1.0260848669341884,1.0331909621709925,1.0381712472855449
DC-AE,20,81,0.7004827575778043,0.5142971515220937,0.5442267613669974,0.7407407407407407,0.8804938271604938,1500,2025,1.0005354492845646,1.0050426060663993,1.0074496035963243,1.009787423039633,1.0114368179074271
DC-AE,21,1,0.768276228768869,0.5753786278324768,0.6073387746806458,0.8306172839506173,0.899753086419753,1682,2025,0.07915157627176356,0.13958777242236667,0.19570996119652265,0.2852773344663926,0.40049867959670077
DC-AE,21,5,0.40887511300318113,0.28211892571182423,0.35644191874578174,0.5269135802469136,0.7980246913580247,1067,2025,0.2958074808650546,0.31715774484328274,0.3354043338328231,0.3692545368583114,0.41318282859708055
DC-AE,21,10,0.28882460765643325,0.1973213848165728,0.26255464655996696,0.42864197530864195,0.697283950617284,868,2025,0.34172671485830225,0.35841465983567405,0.37242100573763426,0.3992808705141514,0.4343023829577881
